Name,Effect
Ability Capsule,A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.
Ability Patch,Changes a Pokémon's ability to its Hidden Ability.
Ability Shield,An item to be held by a Pokémon. This cute and rather unique-looking shield protects the holder from having its Ability changed by others.
Ability Urge,"When used, it activates the Ability of an ally Pokémon."
Abomasite,Enables Abomasnow to Mega Evolve during battle.
Absolite,Enables Absol to Mega Evolve during battle.
Absorb Bulb,"A consumable bulb. If the holder is hit by a Water-type move, its Sp. Atk will rise."
Academy Ball,"The academy’s standard-issue ball in a regulation size. Lots of students believe that if you kick it right on the academy emblem, it’ll fly in a straight line."
Academy Bottle,"A bottle emblazoned with the academy’s emblem. It’s light, sturdy, and vacuum insulated, so it’ll keep your hots hot and your colds cold."
Academy Cup,The academy’s standard-issue cup for picnicking. The careful design of its mouth makes it popular both inside and outside the academy.
Academy Tablecloth,The academy’s standard-issue tablecloth. It’s made with the latest fiber-processing technology and is so tough that not even a Razor Claw can tear it.
Adamant Crystal,
Adamant Mint,Changes the Pokémon's stats to match the Adamant nature.
Adamant Orb,Increases the power of Dragon- and Steel-type moves when held by Dialga.
Adrenaline Orb,"Using it makes wild Pokémon more likely to call for help. If held by a Pokémon, it boosts Speed when intimidated. It can be used only once."
Aerodactylite,Enables Aerodactyl to Mega Evolve during battle.
Aggronite,Enables Aggron to Mega Evolve during battle.
Aguav Berry,"Restores HP if it's low, but may cause confusion."
Air Balloon,"When held by a Pokémon, the Pokémon will float into the air. When the holder is attacked, this item will burst."
Alakazite,Enables Alakazam to Mega Evolve during battle.
Alomomola Mucus,"Material obtained after defeating/catching Alomomola, used in TM crafting."
Aloraichium Z,"Allows Alolan Raichu to upgrade Thunderbolt to a Z-Move, Stoked Sparksurfer."
Altarianite,Enables Altaria to Mega Evolve during battle.
Ampharosite,Enables Ampharos to Mega Evolve during battle.
Amulet Coin,Doubles prize money if held.
Antidote,Cures a Pokémon of poisoning.
Apicot Berry,Raises Special Defense when HP is low.
Apple,This very sweet ingredient is sliced thin to make it easy to add into a sandwich.
Applin Juice,"Material obtained after defeating/catching Applin, used in TM crafting."
Apricorn,A fruit whose shell can be used to form the capsules of all manner of Poké Balls when crafting them from scratch.
Armor Fossil,A fossil from a prehistoric Pokémon that lived on the land. It appears to be part of a collar.
Armorite Ore,
Arrokuda Scales,"Material obtained after defeating/catching Arrokuda, used in TM crafting."
Aspear Berry,"If held by a Pokémon, it defrosts it."
Assault Vest,Raises Special Defense but prevents the use of status moves.
